zaak,opdrachtgever,debiteur_type,fase_basenet,hoofdsom,betaald,open_ruw,rente,voorstel_stap,toelichting,vlaggen
IN100556,COLLECT 1 B.V.,b2b,B2C 2e sommatie verstuurd,1564.08,0.00,1564.08,commercial,Derde sommatie,,
IN100557,COLLECT 1 B.V.,b2b,B2C 2e sommatie verstuurd,1905.74,0.00,1905.74,commercial,Derde sommatie,,
IN100558,COLLECT 1 B.V.,b2b,B2C 2e sommatie verstuurd,2092.08,0.00,2092.08,commercial,Derde sommatie,,creditfactuur-rente
IN100560,COLLECT 1 B.V.,b2b,B2C 2e sommatie verstuurd,211.75,0.00,211.75,commercial,Derde sommatie,,
IN100561,COLLECT 1 B.V.,b2b,B2C 2e sommatie verstuurd,751.41,0.00,751.41,commercial,Derde sommatie,,
IN100562,COLLECT 1 B.V.,b2b,B2C 2e sommatie verstuurd,6050.00,0.00,6050.00,commercial,Derde sommatie,,
IN100563,COLLECT 1 B.V.,b2b,B2C 2e sommatie verstuurd,1877.22,0.00,1877.22,commercial,Derde sommatie,,
IN100564,COLLECT 1 B.V.,b2b,Vordering betwist,2477.55,0.00,2477.55,commercial,Verweer beantwoorden,,verweer-vinkje zetten
IN100566,COLLECT 1 B.V.,b2b,B2C 2e sommatie verstuurd,638.88,0.00,638.88,commercial,Derde sommatie,,
IN100567,COLLECT 1 B.V.,b2b,Regeling treffen,600.16,0.00,600.16,commercial,Treffen van regeling,,
IN100568,COLLECT 1 B.V.,b2b,Factureren,540.69,0.00,540.69,commercial,AFRONDEN: factureren + sluiten,,
IN100569,COLLECT 1 B.V.,b2b,B2C 2e sommatie verstuurd,2160.15,0.00,2160.15,commercial,Derde sommatie,,
IN100570,COLLECT 1 B.V.,b2b,B2C 2e sommatie verstuurd,114.60,0.00,114.60,commercial,Derde sommatie,,
IN100571,COLLECT 1 B.V.,b2b,B2C 2e sommatie verstuurd,119.79,0.00,119.79,commercial,Derde sommatie,,
IN100572,COLLECT 1 B.V.,b2b,B2C 2e sommatie verstuurd,6050.00,0.00,6050.00,commercial,Derde sommatie,,
IN100573,COLLECT 1 B.V.,b2b,B2C 2e sommatie verstuurd,3025.00,0.00,3025.00,commercial,Derde sommatie,,
IN100574,COLLECT 1 B.V.,b2b,B2C 1e sommatie verstuurd,951.06,0.00,951.06,commercial,Tweede sommatie,,
IN100575,COLLECT 1 B.V.,b2b,B2C 2e sommatie verstuurd,583.53,0.00,583.53,commercial,Derde sommatie,,
IN100576,Incassocenter B.V.,b2b,B2B 2e sommatie verstuurd,211.75,0.00,211.75,commercial,Derde sommatie,,
IN100577,COLLECT 1 B.V.,b2b,B2C 2e sommatie verstuurd,393.25,0.00,393.25,commercial,Derde sommatie,,
IN100578,COLLECT 1 B.V.,b2b,B2C 2e sommatie verstuurd,2763.74,0.00,2763.74,commercial,Derde sommatie,,creditfactuur-rente
IN100579,COLLECT 1 B.V.,b2b,B2C 1e sommatie verstuurd,2288.21,0.00,2288.21,commercial,Tweede sommatie,,
IN100580,COLLECT 1 B.V.,b2b,B2C 2e sommatie verstuurd,620.86,0.00,620.86,commercial,Derde sommatie,,
IN100581,COLLECT 1 B.V.,b2b,B2C 2e sommatie verstuurd,3025.00,0.00,3025.00,commercial,Derde sommatie,,
IN100584,COLLECT 1 B.V.,b2b,B2C 2e sommatie verstuurd,1195.09,0.00,1195.09,commercial,Derde sommatie,,
IN100585,Incassocenter B.V.,b2b,B2C 1e sommatie verstuurd,1154.40,0.00,1154.40,commercial,Tweede sommatie,,
IN100586,COLLECT 1 B.V.,b2b,B2C Dossier gecontroleerd,19148.21,0.00,19148.21,commercial,14-dagenbrief,,
IN100587,COLLECT 1 B.V.,b2b,B2C Dossier gecontroleerd,833.62,0.00,833.62,commercial,14-dagenbrief,,
IN100588,INC Zakelijk B.V.,b2c,14-dagen brief,6363.29,0.00,6363.29,statutory,14-dagenbrief,,
IN100589,INC Zakelijk B.V.,b2b,B2B Dossier gecontroleerd,2409.31,0.00,2409.31,commercial,Eerste sommatie,,
IN100590,INC Zakelijk B.V.,b2b,B2B Dossier gecontroleerd,123.48,0.00,123.48,commercial,Eerste sommatie,,
IN100591,INC Zakelijk B.V.,b2b,B2B Dossier gecontroleerd,142.79,0.00,142.79,commercial,Eerste sommatie,,creditfactuur-rente
IN100592,LegalWork B.V.,b2b,B2B Dossier gecontroleerd,20104.05,0.00,20104.05,commercial,Eerste sommatie,,
IN100593,INC Zakelijk B.V.,b2b,B2B Dossier gecontroleerd,81.27,0.00,81.27,commercial,Eerste sommatie,,
IN100594,COLLECT 1 B.V.,b2b,B2B Dossier gecontroleerd,929.03,0.00,929.03,commercial,Eerste sommatie,,
IN100595,INC Zakelijk B.V.,b2b,B2B Dossier gecontroleerd,5514.74,0.00,5514.74,commercial,Eerste sommatie,,
IN100596,INC Zakelijk B.V.,b2b,B2B Dossier gecontroleerd,15567.59,0.00,15567.59,commercial,Eerste sommatie,,creditfactuur-rente
IN100597,INC Zakelijk B.V.,b2b,B2B Dossier gecontroleerd,1751.40,0.00,1751.40,commercial,Eerste sommatie,,
IN100598,LegalWork B.V.,b2b,B2B Dossier gecontroleerd,44609.73,0.00,44609.73,commercial,Eerste sommatie,,
IN100599,LegalWork B.V.,b2b,B2B Dossier gecontroleerd,12100.00,0.00,12100.00,commercial,Eerste sommatie,,
IN100600,SYN Finance 1 B.V.,b2b,B2C Dossier gecontroleerd,211.75,0.00,211.75,commercial,14-dagenbrief,,
IN100601,SYN Finance 1 B.V.,b2b,B2C Dossier gecontroleerd,211.75,0.00,211.75,commercial,14-dagenbrief,,
IN100602,LegalWork B.V.,b2b,B2B Dossier gecontroleerd,18934.11,0.00,18934.11,commercial,Eerste sommatie,,creditfactuur-rente
IN100603,LegalWork B.V.,b2b,B2B Dossier gecontroleerd,1160.64,0.00,1160.64,commercial,Eerste sommatie,,creditfactuur-rente
IN100604,LegalWork B.V.,b2b,B2B Dossier gecontroleerd,1082.95,0.00,1082.95,commercial,Eerste sommatie,,
IN100605,LegalWork B.V.,b2b,B2B Dossier gecontroleerd,1551.66,0.00,1551.66,commercial,Eerste sommatie,,
IN100606,LegalWork B.V.,b2b,B2B Dossier gecontroleerd,2337.89,0.00,2337.89,commercial,Eerste sommatie,,
IN100607,LegalWork B.V.,b2b,B2B Dossier gecontroleerd,3219.84,0.00,3219.84,commercial,Eerste sommatie,,
IN100608,COLLECT 1 B.V.,b2b,B2C Dossier gecontroleerd,3004.94,0.00,3004.94,commercial,14-dagenbrief,,
IN100609,COLLECT 1 B.V.,b2b,B2C Dossier gecontroleerd,10248.75,0.00,10248.75,commercial,14-dagenbrief,,creditfactuur-rente
IN100610,COLLECT 1 B.V.,b2b,B2C Dossier gecontroleerd,1106.47,0.00,1106.47,commercial,14-dagenbrief,,
IN100611,COLLECT 1 B.V.,b2b,B2C Dossier gecontroleerd,1815.00,0.00,1815.00,commercial,14-dagenbrief,,
IN100612,COLLECT 1 B.V.,b2b,B2C Dossier gecontroleerd,6731.84,0.00,6731.84,commercial,14-dagenbrief,,creditfactuur-rente
IN100613,COLLECT 1 B.V.,b2b,B2C Dossier gecontroleerd,1585.95,0.00,1585.95,commercial,14-dagenbrief,,creditfactuur-rente
