zaak,opdrachtgever,debiteur_type,fase_basenet,hoofdsom,betaald,open_ruw,rente,voorstel_stap,toelichting,vlaggen
IN100309,Incassocenter B.V.,b2c,Regeling treffen,1859.70,0.00,1859.70,statutory,Treffen van regeling,,
IN100312,Incassocenter B.V.,b2b,B2C 4e sommatie verstuurd,430.64,0.00,430.64,commercial,Voorstel dagvaarding,,
IN100313,Incassocenter B.V.,b2c,Bijhouden regelingen,1025.39,0.00,1025.39,statutory,BEOORDELEN: regeling gestopt/afgelopen,,
IN100314,Incassocenter B.V.,b2c,14-dagen brief,3600.13,0.00,3600.13,statutory,14-dagenbrief,,
IN100317,Incassocenter B.V.,b2c,B2C 1e sommatie verstuurd,1497.71,0.00,1497.71,statutory,Tweede sommatie,,
IN100318,Incassocenter B.V.,b2c,14-dagen brief,2965.00,0.00,2965.00,statutory,14-dagenbrief,,
IN100319,Incassocenter B.V.,b2c,14-dagen brief,804.49,0.00,804.49,statutory,14-dagenbrief,,
IN100323,Incassocenter B.V.,b2b,B2C 4e sommatie verstuurd,732.21,0.00,732.21,commercial,Voorstel dagvaarding,,
IN100324,Incassocenter B.V.,b2b,B2C 4e sommatie verstuurd,682.20,0.00,682.20,commercial,Voorstel dagvaarding,,
IN100325,Incassocenter B.V.,b2b,B2C 4e sommatie verstuurd,868.09,0.00,868.09,commercial,Voorstel dagvaarding,,
IN100327,Incassocenter B.V.,b2b,B2C 4e sommatie verstuurd,724.78,0.00,724.78,commercial,Voorstel dagvaarding,,
IN100328,Incassocenter B.V.,b2c,Vordering betwist,645.78,0.00,645.78,statutory,Verweer beantwoorden,,verweer-vinkje zetten
IN100329,Incassocenter B.V.,b2b,Regeling treffen,3645.95,0.00,3645.95,commercial,Bijhouden regeling,actieve betalingsregeling,
IN100330,CM Zakelijk B.V.,b2b,Regeling treffen,4843.91,3754.01,1089.90,commercial,Treffen van regeling,,
IN100331,Incassocenter B.V.,b2b,B2C 4e sommatie verstuurd,650.70,0.00,650.70,commercial,Voorstel dagvaarding,,
IN100332,Incassocenter B.V.,b2b,Vordering betwist,737.25,0.00,737.25,commercial,Verweer beantwoorden,,verweer-vinkje zetten
IN100334,Incassocenter B.V.,b2b,Bijhouden regelingen,605.00,888.88,-283.88,commercial,NIET HEROPENEN,feitelijk voldaan — afsluiten bevestigen,creditfactuur-rente
IN100335,Incassocenter B.V.,b2b,Procederen?,964.40,0.00,964.40,commercial,Voorstel dagvaarding,,
IN100336,Incassocenter B.V.,b2b,B2C 4e sommatie verstuurd,666.47,0.00,666.47,commercial,Voorstel dagvaarding,,
IN100337,Incassocenter B.V.,b2b,B2C 4e sommatie verstuurd,574.75,0.00,574.75,commercial,Voorstel dagvaarding,,
IN100339,Incassocenter B.V.,b2b,B2C 4e sommatie verstuurd,510.21,0.00,510.21,commercial,Voorstel dagvaarding,,
IN100340,Incassocenter B.V.,b2c,Procederen?,504.87,0.00,504.87,statutory,Voorstel dagvaarding,,
IN100341,Incassocenter B.V.,b2b,B2C 4e sommatie verstuurd,482.79,0.00,482.79,commercial,Voorstel dagvaarding,,
IN100342,Incassocenter B.V.,b2b,B2C 4e sommatie verstuurd,475.21,0.00,475.21,commercial,Voorstel dagvaarding,,
IN100343,Incassocenter B.V.,b2b,B2C 4e sommatie verstuurd,474.99,0.00,474.99,commercial,Voorstel dagvaarding,,
IN100345,Incassocenter B.V.,b2c,Bijhouden regelingen,2603.01,150.00,2453.01,statutory,Bijhouden regeling,actieve betalingsregeling,
IN100347,Incassocenter B.V.,b2b,Vordering betwist,5403.42,0.00,5403.42,commercial,Verweer beantwoorden,,verweer-vinkje zetten
IN100348,Incassocenter B.V.,b2c,14-dagen brief,1258.28,0.00,1258.28,statutory,14-dagenbrief,,
IN100349,Incassocenter B.V.,b2b,B2C 4e sommatie verstuurd,725.85,0.00,725.85,commercial,Voorstel dagvaarding,,
IN100350,Incassocenter B.V.,b2c,Bijhouden regelingen,1433.54,1381.50,52.04,statutory,BEOORDELEN: regeling gestopt/afgelopen,,
IN100351,Incassocenter B.V.,b2b,Vordering betwist,587.19,0.00,587.19,commercial,Verweer beantwoorden,,verweer-vinkje zetten
IN100352,Incassocenter B.V.,b2b,B2C 1e sommatie verstuurd,423.50,0.00,423.50,commercial,Tweede sommatie,,
IN100354,Incassocenter B.V.,b2b,B2C 4e sommatie verstuurd,312.82,0.00,312.82,commercial,Voorstel dagvaarding,,
IN100355,Incassocenter B.V.,b2b,B2C 4e sommatie verstuurd,210.06,0.00,210.06,commercial,Voorstel dagvaarding,,
IN100358,INC Zakelijk B.V.,b2b,Vordering betwist,144633.88,0.00,144633.88,commercial,Verweer beantwoorden,,verweer-vinkje zetten
IN100359,INC Zakelijk B.V.,b2b,Eng 4e sommatie verstuurd,6344.88,0.00,6344.88,commercial,Voorstel dagvaarding,,
IN100360,INC Zakelijk B.V.,b2b,Procederen?,2958.38,0.00,2958.38,commercial,Voorstel dagvaarding,,
IN100362,INC Zakelijk B.V.,b2b,Vordering betwist,1473.99,0.00,1473.99,commercial,Verweer beantwoorden,,verweer-vinkje zetten
IN100363,INC Zakelijk B.V.,b2b,B2B 4e sommatie verstuurd,569.61,0.00,569.61,commercial,Voorstel dagvaarding,,
IN100371,Incassocenter B.V.,b2b,B2C 4e sommatie verstuurd,921.10,0.00,921.10,commercial,Voorstel dagvaarding,,
IN100372,Incassocenter B.V.,b2c,Vordering betwist,838.95,0.00,838.95,statutory,Verweer beantwoorden,,verweer-vinkje zetten
IN100373,Incassocenter B.V.,b2c,14-dagen brief,480.24,0.00,480.24,statutory,14-dagenbrief,,
IN100376,Incassocenter B.V.,b2b,B2C 4e sommatie verstuurd,454.96,0.00,454.96,commercial,Voorstel dagvaarding,,
IN100379,Incassocenter B.V.,b2c,14-dagen brief,423.68,0.00,423.68,statutory,14-dagenbrief,,
IN100381,Incassocenter B.V.,b2b,Procederen?,524.08,0.00,524.08,commercial,Voorstel dagvaarding,,
IN100382,Incassocenter B.V.,b2b,B2C 4e sommatie verstuurd,399.56,0.00,399.56,commercial,Voorstel dagvaarding,,
IN100383,Incassocenter B.V.,b2b,Vordering betwist,747.48,0.00,747.48,commercial,Verweer beantwoorden,,verweer-vinkje zetten
IN100384,Incassocenter B.V.,b2b,B2C 4e sommatie verstuurd,334.90,0.00,334.90,commercial,Voorstel dagvaarding,,
